游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
乐高：霍比特人,"乐高,冒险,动作,开放世界,本地合作,多人,欢乐,单人,合作,奇幻,阖家,喜剧,第三人称视角,氛围,大师级,分屏,角色扮演,解谜,策略,控制器","Traveller's Tales,Feral Interactive (Mac)","Warner Bros. Interactive Entertainment,Feral Interactive (Mac)",,PC,本地合作,否,"5,549"
孢子,"模拟,沙盒,开放世界,探索,太空,冒险,创世神,单人,外星人,策略,科幻,欢乐,科学,阖家,多人,动作,角色扮演,休闲,喜剧,即时战略",Maxis™,Electronic Arts,99,PC,单人,否,"5,549"
Warriors of Vilvatikta,"角色扮演,独立,冒险,RPG制作大师",RPG Video,Back To Basics Gaming,6,PC,单人,否,"5,542"
搬运鼠,"免费,多人,欢乐,大型多人在线,二维,平台游戏,休闲,可爱,竞速,冒险,独立,在线合作,生存,策略,仅鼠标,合作,动作,解谜,阖家,喜剧",Atelier 801,Atelier 801,免费游玩,PC,多人,是,"5,542"
J.U.R : Japan Underground Racing,"竞速,独立,休闲,模拟",JDM4iK,Droid Riot,11,PC,单人,否,"5,541"
Ylands,"沙盒,多人,生存,冒险,开放世界,免费,制作,休闲,建造,合作,单人,抢先体验,第三人称视角,独立,探索,动作,第一人称视角,阖家,玩家对战,欢乐",Bohemia Interactive,Bohemia Interactive,免费开玩,PC,多人,否,"5,540"
Cossacks 3,"策略,即时战略,基地建设,历史,多人,资源管理,经典,战术,城市营造,单人,即时,重制,大战略,合作,动作,可模组化,竞技,重玩价值,冒险,等角",GSC Game World,GSC Game World,68,PC,多人,否,"5,533"
燥热,"动作,第一人称射击,子弹时间,时空操控,独立,第一人称视角,单人,射击,解谜,极简主义,短片,困难,赛博朋克,Kickstarter,暴力,快节奏,科幻,休闲,冒险,血腥",SUPERHOT Team,SUPERHOT Team,78,PC,单人,是,"5,533"
My Summer Car,"汽车模拟,模拟,驾驶,开放世界,生存,拟真,竞速,建造,第一人称视角,抢先体验,单人,欢乐,永久死亡,困难,喜剧,沙盒,独立,冒险,解谜,网红",Amistech Games,Amistech Games,48,PC,单人,否,"5,509"
要塞王国,"策略,免费,中世纪,大型多人在线,城市营造,多人,即时,建造,即时战略,角色扮演,动作,开放世界,单人,欲罢不能,玩家对战,战争,沙盒,大型多人在线角色扮演,基地建设,模拟",FireFly Studios,FireFly Studios,Free to Play,PC,大型多人在线,是,"5,499"
MY FIGHT,"动作,独立,格斗",TrisPix Studio,TrisPix Studio,18,PC,单人,否,"5,494"
Vengeance,"抢先体验,动作,独立,策略,第一人称射击",314 Arts,314 Arts,32,PC,其他,否,"5,479"
终极街头霸王4：街机版,"格斗,街机,竞技,2D 格斗,本地多人,动作,多人,控制器,电竞,困难,经典,动漫,好评原声音轨,伪3D,单人,二维,清版动作,本地合作,冒险,3D视觉",Capcom,Capcom,191,PC,本地多人,是,"5,472"
火影忍者博人传：新忍出击,"动作,动漫,多人,角色定制,忍者,格斗,合作,玩家对战,开放世界,大型多人在线,角色扮演,第三人称视角,冒险,团队导向,策略,多人在线战术竞技,大型多人在线角色扮演,在线合作,单人",Soleil Ltd.,BANDAI NAMCO Entertainment,268,PC,多人,是,"5,468"
小王子的星球,"冒险,独立,休闲,模拟,角色扮演,沙盒,制作,单人,奇幻,探索,建造,氛围,阖家,第三人称视角,动作,开放世界,生存,控制器,动漫,可爱",Chibig,101XP,50,PC,单人,是,"5,467"
黑光：惩罚,"免费,第一人称射击,多人,动作,射击,自制枪械,第一人称视角,未来,机甲世界,合作,科幻,军事,赛博朋克,僵尸,单人,大型多人在线,战术,快节奏,竞技,角色扮演","Hardsuit Labs, Inc.","Hardsuit Labs, Inc.",,PC,多人,否,"5,461"
Arena: Blood on the Sand VR,"动作,独立,模拟,剑术,竞技场射击,控制器,虚拟现实",Random Bird Studio,Droid Riot,22,PC,单人,否,"5,453"
战争附言,"二战,模拟,第一人称射击,动作,多人,军事,拟真,大型多人在线,策略,战争,独立,第一人称视角,历史,射击,团队导向,战术,单人,合作,开放世界,暴力",Periscope Games,Offworld Industries,101,PC,多人,是,"5,450"
Animal Jam - Play Wild!,"免费,大型多人在线,冒险,模拟,阖家,抢先体验,多人,开放世界,心理恐怖,色情内容,大型多人在线角色扮演,可爱,好评原声音轨,网红,氛围,动漫,休闲,奇幻,角色定制,血腥","WildWorks, Inc.","WildWorks, Inc.",免费开玩,PC,大型多人在线,否,"5,448"
雨中冒险,"动作类 Rogue,类Rogue,独立,平台游戏,动作,像素图形,好评原声音轨,在线合作,困难,永久死亡,合作,二维,本地合作,轻度 Rogue,多人,角色扮演,单人,欲罢不能,重玩价值,生存",Hopoo Games,Chucklefish,36,PC,在线合作,否,"5,446"
孤岛惊魂3：血龙,"第一人称射击,80 年代,喜剧,动作,开放世界,好评原声音轨,单人,冒险,射击,赛博朋克,科幻,潜行,怀旧,欢乐,第一人称视角,龙,未来,氛围,谐仿,末日",Ubisoft Montreal,Ubisoft,68,PC,单人,否,"5,444"
歧路旅人,"角色扮演,日系角色扮演,剧情丰富,单人,回合制,像素图形,策略,好评原声音轨,回合制战斗,选择取向,多结局,开放世界,冒险,休闲,动漫,管理,沙盒,伪3D,模拟,劫掠","Square Enix,ACQUIRE Corp.",Square Enix,402,PC,单人,是,"5,436"
刺客信条：大革命,"开放世界,跑酷,暗杀,潜行,历史,合作,动作,冒险,第三人称视角,多人,氛围,在线合作,单人,剧情丰富,好评原声音轨,角色扮演,动作角色扮演,沙盒,战术,模拟",Ubisoft,Ubisoft,118,PC,合作,否,"5,432"
铁路帝国,"策略,模拟,管理,火车,经济,建造,历史,即时,美国,贸易,单人,西部,沙盒,多人",Gaming Minds Studios,Kalypso Media,169,PC,单人,是,"5,404"
Star Merc,"独立,休闲,冒险,角色扮演,动作,RPG制作大师,太空,二维,科幻,回合制战斗,抢先体验,氛围,单人,像素图形,外星人,奇幻,开放世界,重玩价值,多结局,阴谋",D247 Games,New Worlds Games,11,PC,单人,否,"5,393"
Invasion: Brain Craving,"独立,角色扮演,冒险,策略,动作,RPG制作大师,休闲,模拟,生存恐怖,抢先体验",New Reality Games,New Reality Games,6,PC,单人,否,"5,387"
战神：夜袭,"角色扮演,回合制战斗,单人,日系角色扮演,迷宫探索,奇幻,独立,氛围,漫画,回合制,好评原声音轨,众筹,剧情丰富,钓鱼,寻宝,动漫,等角,开放世界",Airship Syndicate,THQ Nordic,99,PC,单人,是,"5,359"
黑手党2,"动作,开放世界,犯罪,剧情丰富,氛围,单人,第三人称视角,第三人称射击,射击,汽车模拟,好评原声音轨,冒险,驾驶,美国,大师级,经典,音乐,裸露,多人,沙盒",2K Czech,2K,88,PC,单人,否,"5,358"
奇异人生2,"剧情丰富,选择取向,冒险,好评原声音轨,单人,氛围,剧集,剧情,色情内容,指向 &amp; 点击,自选历险体验,第三人称视角,步行模拟,悬疑,大师级,解谜,裸露,喜剧,欢乐,LGBTQ+","DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)",217,PC,单人,是,"5,317"
领地人生：MMO,"大型多人在线,中世纪,生存,开放世界,角色扮演,沙盒,开放世界生存制作,冒险,制作,模拟,动作,大型多人在线角色扮演,抢先体验,多人,基地建设,暴力,免费,建造,玩家对战,第一人称视角",Bitbox Ltd.,Bitbox Ltd.,免费开玩,PC,大型多人在线,是,"5,315"
堕落之王,"类魂系列,角色扮演,动作,黑暗奇幻,动作角色扮演,单人,困难,第三人称视角,冒险,奇幻,开放世界,中世纪,砍杀,氛围,剧情丰富,魔法,好评原声音轨,大师级,多人,恐怖","CI Games,Deck 13",CI Games,88,PC,单人,是,"5,250"
生化奇兵 重置版,"第一人称射击,剧情丰富,氛围,单人,恐怖,动作,第一人称视角,射击,反乌托邦,水底,科幻,角色扮演,蒸汽朋克,黑暗,重制,冒险,经典,好评原声音轨,架空,选择取向","2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)","2K,Feral Interactive (Mac)",64,PC,单人,是,"5,245"
Drawful 2,"休闲,独立,策略,本地多人,欢乐,喜剧,多人,桌游,阖家,合作,手绘","Jackbox Games, Inc.","Jackbox Games, Inc.",36,PC,本地多人,否,"5,236"
Mitos.is: The Game,"免费,多人,大型多人在线,策略,二维,生存,欢乐,休闲,模拟,动作,玩家对战,在线合作,独立,合作,阖家,困难,单人,冒险,喜剧,光明会",Freakinware Studios,Freakinware Studios,免费游玩,PC,多人,否,"5,229"
GTFO,"抢先体验,恐怖,动作,在线合作,第一人称射击,合作,多人,生存恐怖,血腥,第一人称视角,射击,团队导向,暴力,氛围,PvE,战术,生存,困难,僵尸,重玩价值",10 Chambers Collective,10 Chambers Collective,103,PC,在线合作,否,"5,224"
海军行动,"海军,海战,开放世界,大型多人在线,海盗,模拟,策略,历史,冒险,抢先体验,动作,多人,帆船,拟真,独立,军事,沙盒,玩家对战,氛围,合作",Game-Labs,Game-Labs,159,PC,大型多人在线,是,"5,221"
疯狂驾驶2,"竞速,汽车模拟,动作,休闲,模拟,独立,多人,驾驶,开放世界,阖家,竞技,控制器,街机",M2H,M2H,Demo,PC,多人,是,"5,214"
真人快打9：完全版,"格斗,血腥,动作,暴力,多人,经典,鲜血,合作,大师级,街机,单人,2D 格斗,竞技,本地多人,本地合作,重玩价值,伪3D,重制,清版动作,二维","NetherRealm Studios,High Voltage Software",Warner Bros. Interactive Entertainment,,PC,多人,否,"5,178"
Super Space Pug,"休闲,动作,独立",Digital Dawn Studios,Back To Basics Gaming,6,PC,单人,否,"5,159"
戈恩,"虚拟现实,3D 格斗,暴力,动作,血腥,独立,欢乐,格斗,抢先体验,鲜血,第一人称视角,单人,本地多人,剑术,中世纪,第一人称射击",Free Lives,Devolver Digital,68,PC,单人,否,"5,150"
误造,"开放世界生存制作,生存,开放世界,多人,僵尸,末日,制作,大型多人在线,玩家对战,动作,沙盒,合作,抢先体验,模拟,第一人称射击,第一人称视角,独立,恐怖,步行模拟,单人",Entrada Interactive LLC,Entrada Interactive LLC,70,PC,多人,否,"5,141"
元素之塔,"独立,动作",Wulo Games,Back To Basics Gaming,6,PC,单人,否,"5,139"
模拟城市4 豪华版,"城市营造,模拟,策略,管理,沙盒,建造,经典,可模组化,经济,单人,多人,即时含暂停,好评原声音轨,欲罢不能,大师级,氛围,等角,创世神,拟真,免费","EA - Maxis,Aspyr (Mac)","Electronic Arts,Aspyr (Mac)",99,PC,单人,否,"5,128"
绿色地狱,"生存,开放世界生存制作,开放世界,制作,单人,模拟,拟真,第一人称视角,独立,冒险,抢先体验,生存恐怖,基地建设,恐怖,探索,沙盒,心理恐怖,动作,裸露,色情内容",Creepy Jar,Creepy Jar,80,PC,单人,是,"5,124"
Heaven Island - VR MMO,"步行模拟,冒险,独立,大型多人在线,虚拟现实,探索,开放世界,多人,放松,休闲","Fabio Ferrara,Giulia Airoldi",Chubby Pixel,6,PC,大型多人在线,否,"5,123"
涂鸦冒险家：无限,"解谜,休闲,冒险,阖家,沙盒,单人,二维,欢乐,喜剧,开放世界,可爱,策略,教育,奇幻,可模组化,平台游戏,多人,重玩价值,动作,独立",5th Cell Media,Warner Bros. Interactive Entertainment,68,PC,单人,否,"5,118"
王国纪元,"大型多人在线,策略,角色扮演,免费,休闲,即时战略,大型多人在线角色扮演,多人,心理恐怖",IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,免费,PC,大型多人在线,是,"5,106"
战锤40K：永恒远征,"战锤40K,动作,第三人称射击,免费,玩家对战,大型多人在线,游戏工坊,多人,科幻,合作,射击,冒险,PvE,团队导向,角色定制,暴力,战术,未来,坦克,困难",Behaviour Interactive Inc.,Behaviour Interactive Inc.,免费游玩,PC,大型多人在线,否,"5,104"
黄昏之夜,"独立,休闲,弹幕射击",Leaning Tower Studio,Leaning Tower Studio,11,PC,单人,是,"5,092"
地铁：2033 重制版,"末日,第一人称射击,氛围,动作,剧情丰富,单人,恐怖,第一人称视角,射击,潜行,小说改编,生存恐怖,冒险,生存,重制,大师级,成人,血腥,多人,经典",4A Games,Deep Silver,68,PC,单人,否,"5,092"
热狗，马蹄和手榴弹,"虚拟现实,模拟,自制枪械,动作,沙盒,射击,抢先体验,独立,第一人称射击,欢乐,物理,拟真,单人,美国,第一人称视角,毁灭,氛围",RUST LTD.,RUST LTD.,68,PC,单人,否,"5,084"
撕裂,"冒险,生存,大型多人在线,角色扮演,开放世界生存制作,动作,开放世界,独立,制作,基地建设,多人,建造,合作,沙盒,奇幻,第三人称视角,抢先体验,第三人称射击,玩家对战",Frostkeep Studios,Frostkeep Studios,,PC,大型多人在线,否,"5,084"
解谜圆球,"独立,休闲,解谜,关卡编辑","Почежерцев Влад,Кашковский Антон,Бурков Никита",Art-Pulsar,15,PC,单人,否,"5,070"
战律,"策略,独立,回合战略,像素图形,回合制,奇幻,回合制战术,多人,好评原声音轨,战术,战术角色扮演,二维,女性主角,本地合作,本地多人,合作,在线合作,动漫",Chucklefish,Chucklefish,70,PC,多人,是,"5,061"
WildStar,"免费,大型多人在线,大型多人在线角色扮演,开放世界,角色扮演,科幻,玩家对战,PvE,多人,角色定制,动作,欢乐,冒险,动作冒险,奇幻,建造,合作,卡通化,生存,第一人称射击",Carbine Studios,NCSOFT,,PC,大型多人在线,否,"5,040"
火柴人大乱斗,"多人,欢乐,格斗,动作,本地多人,2D 格斗,4人本地,玩家对战,二维,休闲,物理,射击,独立,在线合作,本地合作,控制器,合作,好评原声音轨,分屏,策略",Landfall West,Landfall,21,PC,多人,否,"5,033"
智能战争：舰队指挥官,"策略,即时战略,太空,独立,科幻,合作,4X,大战略,困难,战术,好评原声音轨,单人,多人,塔防,模拟,二维,重玩价值,即时含暂停,非主流经典,经典","Arcen Games, LLC","Arcen Games, LLC",36,PC,合作,否,"5,028"
武侠乂,"大型多人在线,动作,角色扮演,冒险,大逃杀,抢先体验,生存,开放世界,玩家对战,多人",上海杜昂网络科技有限公司,方块游戏(CubeGame),88,PC,大型多人在线,是,"5,026"
Catan Universe,"桌游,休闲,策略,卡牌游戏,免费,桌上游戏,多人",Exozet,United Soft Media,免费开玩,PC,多人,否,"5,022"
忍者之印,"潜行,平台游戏,忍者,独立,二维,动作,单人,横向滚屏,冒险,暗杀,氛围,控制器,大师级,重玩价值,卡通,解谜,黑暗,短片,剧情丰富,策略",Klei Entertainment,Microsoft Studios,32,PC,单人,否,"5,020"
战场女武神,"动漫,策略,回合制,剧情丰富,角色扮演,日系角色扮演,战术,单人,好评原声音轨,策略角色扮演,战术角色扮演,战争,坦克,第三人称视角,回合战略,动作,二战,爱情,经典,女性主角",SEGA,SEGA,68,PC,单人,否,"5,017"
老哥模拟器2,"生活模拟,独立,模拟,竞速,冒险,动作,开放世界,欢乐,单人,沙盒,暴力,氛围,物理,射击,喜剧,血腥,探索,放松,格斗,街机",Kiddy,Kiddy,22,PC,单人,否,"5,012"
"Linea, the Game","独立,休闲,动作,极简主义,困难,街机,快节奏,音乐,音乐动态生成,迷幻",KHB-Soft,KHB-Soft,11,PC,单人,否,"5,010"
乐高：指环王,"乐高,冒险,本地合作,动作,喜剧,奇幻,开放世界,阖家,单人,欢乐,合作,休闲,平台游戏,本地多人,分屏,控制器,解谜,第三人称视角,多人,3D视觉",Traveller's Tales,Warner Bros. Interactive Entertainment,,PC,本地合作,否,"5,005"
鸭王争霸赛,"多人,欢乐,像素图形,本地多人,动作,二维,4人本地,平台游戏,独立,快节奏,喜剧,怀旧,射击,竞技,好评原声音轨,本地合作,合作,网红,休闲,80 年代",Landon Podbielski,Adult Swim Games,42,PC,多人,否,"5,004"
My Own Little Planet,"动作,休闲,冒险,独立,策略,恐怖,平台游戏","Lucas Parise,Mind Flayer Studios","Lucas Parise,Mind Flayer Studios",25,PC,单人,否,"5,000"
仇杀：乌鸦的悲鸣之诅咒,"动作,独立,角色扮演,海盗,开放世界,冒险,单人",Reality Pump Studios,"TopWare Interactive,ACE",90,PC,单人,否,"4,997"
Running Gods,"休闲,独立,动作,冒险",Midnight Games EIRL,Midnight Games EIRL,21,PC,单人,否,"4,993"
Tank Mechanic Simulator,"模拟,冒险,休闲,独立,动作,坦克,二战,建造,制作,拟真,管理,单人,第一人称视角,探索,资源管理,放松,经济,氛围,好评原声音轨,阖家",DeGenerals,PlayWay S.A.,70,PC,单人,是,"4,993"
Duckles: the Jigsaw Witch,"动作,冒险,独立,二维,类银河战士恶魔城",Turbulon Interactive,Turbulon Interactive,18,PC,单人,否,"4,991"
Gum Guy,"动作,冒险,独立",Nickana Studio,Nickana Studio,18,PC,单人,是,"4,988"
Happy Maze,"冒险,独立,休闲,恐怖,心理恐怖",DoshMallow Games,Fresh Wind Software,22,PC,单人,否,"4,980"
星际争端,"免费,太空,动作,多人,科幻,大型多人在线,模拟,开放世界,太空模拟,飞行,合作,射击,玩家对战,第三人称视角,竞技,冒险,氛围,沙盒,大型多人在线角色扮演,虚拟现实",Star Gem Inc.,Gaijin Entertainment,Free to Play,PC,多人,是,"4,973"
先祖遗产,"策略,中世纪,即时战略,历史,即时,战术,暴力,战争,好评原声音轨,多人,氛围,单人,动作,血腥,合作,本地多人,开放世界",Destructive Creations,1C Entertainment,103,PC,多人,是,"4,962"
和班尼特福迪一起攻克难关,"困难,心理恐怖,物理,单人,欢乐,独立,恐怖,平台游戏,哲理,休闲,动作,冒险,生存恐怖,剧情丰富,黑色幽默,策略,重玩价值,喜剧,好评原声音轨,第三人称视角",Bennett Foddy,Bennett Foddy,32,PC,单人,是,"4,959"
Acid Flip,"动作,独立,休闲,抢先体验,冒险,单人",Triadne,Triadne,18,PC,单人,否,"4,947"
Die for the Empire,"动作,清版射击",NedoStudio,NedoStudio,6,PC,单人,否,"4,942"
脉冲充电,"独立,冒险,动作,平台游戏",Frozenmark Games,Frozenmark Games,6,PC,单人,否,"4,933"
光明旅者,"像素图形,好评原声音轨,氛围,困难,冒险,独立,动作,单人,砍杀,探索,角色扮演,二维,彩色,末日,动作角色扮演,纵轴,奇幻,科幻,类银河战士恶魔城,类魂系列",Heart Machine,Heart Machine,68,PC,单人,否,"4,929"
Save the Ninja Clan,"独立,动作,暴力,冒险,血腥,忍者,平台游戏,困难,二维",Willz,Sometimes You,6,PC,单人,否,"4,911"
铁血联盟2：野火,"策略,角色扮演,回合制战术,回合制,回合战略,等角,战术,单人,经典,大师级,战术角色扮演",I-deal Games,Topware Interactive,28,PC,单人,否,"4,868"
Guardians of Victoria,"休闲,独立,奇幻,蒸汽朋克,冒险,奔跑,平台游戏",Tall Story Studios,New Reality Games,11,PC,单人,否,"4,855"
超级食肉男孩,"精确平台,平台游戏,困难,独立,2D 平台,像素图形,二维,单人,好评原声音轨,快节奏,怀旧,控制器,低容错,血腥,动作,限时,欢乐,喜剧,横向滚屏,大师级",Team Meat,Team Meat,48,PC,单人,否,"4,836"
王国与城堡,"城市营造,殖民模拟,策略,建造,中世纪,模拟,沙盒,单人,资源管理,基地建设,生存,管理,休闲,即时战略,动作,彩色,好评原声音轨,经济,放松,开放世界","Lion Shield, LLC","Lion Shield, LLC",36,PC,单人,是,"4,836"
Master of Orion,"策略,4X,太空,回合制,科幻,多人,经典,单人,抢先体验,大战略,重制,动作,氛围,合作,回合战略,即时战略",NGD Studios,Wargaming Labs,80,PC,多人,是,"4,836"
A Detective's Novel,"独立,冒险,视觉小说,推理,悬疑",Amaterasu Software,Amaterasu Software,6,PC,单人,否,"4,826"
史丹利的寓言,"喜剧,记叙,独立,步行模拟,第一人称视角,欢乐,讽刺,心理,动态记叙,冒险,探索,单人,多结局,选择取向,短片,剧情丰富,氛围,超现实,解谜,休闲",Galactic Cafe,Galactic Cafe,48,PC,单人,否,"4,818"
行尸走肉：第三季,"僵尸,剧情丰富,选择取向,冒险,末日,氛围,剧集,单人,生存,动作,血腥,自选历险体验,指向 &amp; 点击,恐怖,暴力,剧情,女性主角,漫画,视觉小说,休闲",Telltale Games,Skybound Games,50,PC,单人,是,"4,813"
Foxhole,"策略,大型多人在线,二战,动作,战争,多人,独立,角色扮演,军事,沙盒,团队导向,垂直卷轴射击,抢先体验,基地建设,射击,战术,开放世界,合作,制作,生存",Clapfoot,Clapfoot,68,PC,大型多人在线,否,"4,813"
RiotZ,"独立,动作,大型多人在线,僵尸",Triple Rush Games,Triple Rush Games,18,PC,大型多人在线,否,"4,794"
Impossible Geometry,"独立,休闲,冒险","Burnin Ape,Onivia Games",Burnin Ape,6,PC,单人,否,"4,793"
鹿,"独立,冒险,教育,阖家,短片,休闲,二维,单人,心理恐怖","Fabio Ferrara,Giulia Airoldi",Chubby Pixel,6,PC,单人,否,"4,788"
Box Maze,"独立,休闲,动作,冒险,策略,多人,控制器,欲罢不能",GamersHype Productions,GamersHype Productions,6,PC,多人,否,"4,786"
Dream Stone,"冒险,独立,解谜,步行模拟,第一人称视角,探索,模拟,氛围,单人,好评原声音轨,困难,悬疑,哲理",QuickSave,QuickSave,15,PC,单人,否,"4,780"
战争游戏：红龙,"策略,即时战略,军事,拟真,战争游戏,多人,冷战,战术,即时战术,模拟,战争,海军,架空,大师级,单人,动作,即时,合作,困难,冒险",Eugen Systems,Eugen Systems,98,PC,多人,否,"4,779"
Orbox C,"独立,解谜","wins_84,gamebalance",wins_84,15,PC,单人,否,"4,776"
西部狂徒,"生存,开放世界生存制作,开放世界,西部,多人,大型多人在线,抢先体验,独立,冒险,策略,动作,角色扮演,休闲,基地建设,制作,单人,剧情丰富,选择取向,管理,类Rogue",Virtual Basement LLC,Wandering Wizard,70,PC,多人,是,"4,751"
两个世界2,"角色扮演,开放世界,奇幻,第三人称视角,探索,单人,多人,动作角色扮演,合作,冒险,制作,剧情丰富,砍杀,动作,黑暗奇幻,好评原声音轨,魔法,物品管理,氛围,沙盒",Reality Pump Studios,"Topware Interactive, ACE",68,PC,单人,否,"4,745"
奥西里斯：新黎明,"开放世界生存制作,生存,太空,开放世界,多人,科幻,建造,冒险,制作,沙盒,基地建设,抢先体验,动作,合作,单人,外星人,角色扮演,独立,第一人称射击,恐怖",Fenix Fire Entertainment,Reverb Triple XP,78,PC,多人,否,"4,739"
Airstrike HD,"独立,休闲,街机",Fifth Dimension Company,Fifth Dimension Company,11,PC,单人,是,"4,732"
数据黑客：重启,"独立,角色扮演,冒险,RPG制作大师,剧情丰富,动漫,科幻,奇幻,制作,日系角色扮演",New Reality Games,New Reality Games,21,PC,单人,否,"4,723"
HIVESWAP: ACT 1,"冒险,指向 &amp; 点击,好评原声音轨,角色扮演,独立,网红,外星人,女性主角,剧情丰富,可爱,二维,单人,解谜,氛围,探索,科幻,彩色,心理恐怖,困难,阖家","What Pumpkin Games, Inc.",Fellow Traveller,LudoNarraCon demo,PC,单人,否,"4,718"
星球大战：前线2,"星球大战,动作,多人,射击,第三人称射击,经典,科幻,太空,第一人称射击,第一人称视角,单人,可模组化,第三人称视角,军事,大师级,合作,战术,策略,好评原声音轨,冒险",Pandemic Studios,"Lucasfilm,LucasArts,Disney",37,PC,多人,否,"4,703"
地牢守护者：永恒,"塔防,合作,角色扮演,多人,策略,动作角色扮演,抢先体验,动作,冒险,独立,寻宝,单人,在线合作,奇幻,休闲,第三人称视角,大型多人在线,大师级",Nom Nom Games,Trendy Entertainment,,PC,合作,否,"4,698"
火影忍者疾风传：究极忍者风暴3完全爆发,"动漫,格斗,动作,冒险,忍者,多人,控制器,清版动作,单人,开放世界,3D 格斗,奇幻,本地多人,好评原声音轨,玩家对战,大师级,第三人称视角,角色扮演,合作,氛围",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,108,PC,多人,否,"4,677"
自动化帝国,"模拟,策略,自动化,基地建设,沙盒,建造,资源管理,管理,独立,经济,单人,制作,城市营造,即时含暂停,火车,采矿,机器人,农业,科幻",DOG HOGGLER,DOG HOGGLER,90,PC,单人,是,"4,671"
新弹丸论破v3,"剧情丰富,视觉小说,推理,动漫,悬疑,好评原声音轨,女性主角,单人,心理恐怖,冒险,黑色幽默,恐怖,黑色喜剧,解谜,氛围,网红,黑暗,欢乐,喜剧,恋爱模拟","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",200,PC,单人,是,"4,667"
拿破仑：全面战争,"策略,历史,大战略,战争,回合战略,即时战略,多人,战术,单人,军事,即时战术,回合制,回合制战术,动作,模拟,合作,大师级,好评原声音轨,海军,可模组化","CREATIVE ASSEMBLY,Feral Interactive (Mac)","SEGA,Feral Interactive (Mac)",112,PC,多人,否,"4,650"
指环王：北方战争,"角色扮演,动作,合作,奇幻,砍杀,在线合作,第三人称视角,动作角色扮演,冒险,单人,多人,控制器,开放世界,血腥,中世纪,氛围,大师级,女性主角,策略,3D视觉",Snowblind Studios,Warner Bros. Interactive Entertainment,,PC,合作,否,"4,649"
魔法门之英雄无敌3高清版,"策略,经典,回合战略,多人,奇幻,大师级,角色扮演,好评原声音轨,氛围,回合制,单人,重制,合作,冒险,重玩价值,怀旧,本地多人,魔法,本地合作,动作",Dotemu,Ubisoft Entertainment,68,PC,多人,是,"4,639"
足球经理2020 Touch版,"体育,模拟,足球",Sports Interactive,SEGA,133,PC,单人,是,"4,620"
百战天虫：战争机器,"策略,多人,动作,欢乐,回合战略,二维,本地多人,回合制,射击,单人,喜剧,网红,经典,合作,休闲,本地合作,冒险,平台游戏,血腥,开放世界",Team17 Digital Ltd,Team17 Digital Ltd,129,PC,多人,是,"4,617"
钢铁之师：诺曼底44,"二战,策略,即时战略,军事,模拟,动作,多人,战术,战争,战争游戏,单人,即时战术,历史,开放世界,生存",Eugen Systems,Paradox Interactive,112,PC,多人,是,"4,606"
失落城堡,"动作,多人,冒险,动作类 Rogue,角色扮演,类Rogue,合作,独立,本地合作,迷宫探索,轻度 Rogue,二维,清版动作,重玩价值,砍杀,困难,横向滚屏,寻宝,动作角色扮演,单人",Hunter Studio,Another Indie,33,PC,多人,是,"4,604"
Flame of Memory,"策略,独立",Kacper Stasiełuk,Kacper Stasiełuk,,PC,单人,否,"4,601"
模拟农场2013,"模拟,农场模拟,多人,休闲,开放世界,放松,合作,可模组化,物理,管理,单人,农业,拟真,大师级,在线合作,沙盒,好评原声音轨,驾驶,氛围,欢乐",Giants Software,Giants Software,50,PC,多人,否,"4,589"
Gal-X-E,"休闲,动作,独立,冒险,清版射击",NodziGames,NodziGames,11,PC,单人,是,"4,582"
Incitement 3,"独立,冒险,角色扮演,RPG制作大师,科幻",Astronomic Games,New Reality Games,26,PC,单人,否,"4,577"
文明3：完全版,"策略,回合战略,回合制,经典,4X,历史,单人,重玩价值,多人,模拟,军事,大战略,探索,大师级,欲罢不能,城市营造,复古,战争",Firaxis Games,2K,16,PC,单人,否,"4,571"
喋血街头2,"黑色幽默,暴力,血腥,第一人称射击,动作,开放世界,经典,单人,沙盒,成人,喜剧,欢乐,冒险,第一人称视角,射击,多人,讽刺,独立,可模组化,大师级",Running With Scissors,Running With Scissors,36,PC,单人,是,"4,571"
恐龙降临日,"恐龙,多人,动作,二战,第一人称射击,独立,射击,第一人称视角,战争,喜剧,欢乐,第三人称视角,架空,合作,生存,历史,玩家对战,第三人称射击,血腥,开放世界",800 North and Digital Ranch,800 North and Digital Ranch,36,PC,多人,否,"4,569"
Time in Time,"独立,策略,平台解谜,困难",ErayTek,ErayTek,11,PC,单人,否,"4,559"
燥热VR,"动作,虚拟现实,独立,射击,子弹时间,第一人称射击,第一人称视角,时空操控,单人,暴力,氛围,困难,极简主义,解谜,赛博朋克",SUPERHOT Team,SUPERHOT Team,78,PC,单人,是,"4,553"
